time,date,S&P500,ret
462,12/31/2014,2058.899902,-0.010364384
463,1/2/2015,2058.199951,-0.000340021
464,1/5/2015,2020.579956,-0.018447213
465,1/6/2015,2002.609985,-0.008933255
466,1/7/2015,2025.900024,0.011562736
467,1/8/2015,2062.139893,0.017730169
468,1/9/2015,2044.810059,-0.008439322
469,1/12/2015,2028.26001,-0.008126617
470,1/13/2015,2023.030029,-0.002581886
471,1/14/2015,2011.27002,-0.005830029
472,1/15/2015,1992.670044,-0.009290903
473,1/16/2015,2019.420044,0.013334893
474,1/20/2015,2022.550049,0.001548752
475,1/21/2015,2032.119995,0.004720465
476,1/22/2015,2063.149902,0.015154313
477,1/23/2015,2051.820068,-0.005506656
478,1/26/2015,2057.090088,0.002565168
479,1/27/2015,2029.550049,-0.013478288
480,1/28/2015,2002.160034,-0.013587503
481,1/29/2015,2021.25,0.009489517
482,1/30/2015,1994.98999,-0.013077099
483,2/2/2015,2020.849976,0.01287917
484,2/3/2015,2050.030029,0.014336238
485,2/4/2015,2041.51001,-0.004164706
486,2/5/2015,2062.52002,0.010238811
487,2/6/2015,2055.469971,-0.003424028
488,2/9/2015,2046.73999,-0.00425624
489,2/10/2015,2068.590088,0.01061898
490,2/11/2015,2068.530029,-2.90342E-05
491,2/12/2015,2088.47998,0.009598295
492,2/13/2015,2096.98999,0.004066459
493,2/17/2015,2100.340088,0.0015963
494,2/18/2015,2099.679932,-0.000314359
495,2/19/2015,2097.449951,-0.001062622
496,2/20/2015,2110.300049,0.006107843
497,2/23/2015,2109.659912,-0.000303385
498,2/24/2015,2115.47998,0.002754972
499,2/25/2015,2113.860107,-0.000766017
500,2/26/2015,2110.73999,-0.001477119
501,2/27/2015,2104.5,-0.002960683
502,3/2/2015,2117.389893,0.006106238
503,3/3/2015,2107.780029,-0.004548873
504,3/4/2015,2098.530029,-0.004398161
505,3/5/2015,2101.040039,0.001195365
506,3/6/2015,2071.26001,-0.014275356
507,3/9/2015,2079.429932,0.003936662
508,3/10/2015,2044.160034,-0.017106821
509,3/11/2015,2040.23999,-0.001919521
510,3/12/2015,2065.949951,0.012522702
511,3/13/2015,2053.399902,-0.006093237
512,3/16/2015,2081.189941,0.013442909
513,3/17/2015,2074.280029,-0.003325698
514,3/18/2015,2099.5,0.012085102
515,3/19/2015,2089.27002,-0.004884489
516,3/20/2015,2108.100098,0.008972382
517,3/23/2015,2104.419922,-0.001747257
518,3/24/2015,2091.5,-0.006158346
519,3/25/2015,2061.050049,-0.014665926
520,3/26/2015,2056.149902,-0.002380331
521,3/27/2015,2061.02002,0.002365761
522,3/30/2015,2086.23999,0.012162382
523,3/31/2015,2067.889893,-0.008834686
524,4/1/2015,2059.689941,-0.003973255
525,4/2/2015,2066.959961,0.003523453
526,4/6/2015,2080.620117,0.006587073
527,4/7/2015,2076.330078,-0.002064033
528,4/8/2015,2081.899902,0.002678941
529,4/9/2015,2091.179932,0.004447576
530,4/10/2015,2102.060059,0.005189377
531,4/13/2015,2092.429932,-0.004591807
532,4/14/2015,2095.840088,0.001628432
533,4/15/2015,2106.629883,0.005134989
534,4/16/2015,2104.98999,-0.000778747
535,4/17/2015,2081.179932,-0.011375704
536,4/20/2015,2100.399902,0.009192748
537,4/21/2015,2097.290039,-0.001481702
538,4/22/2015,2107.959961,0.005074583
539,4/23/2015,2112.929932,0.002354941
540,4/24/2015,2117.689941,0.002250266
541,4/27/2015,2108.919922,-0.004149913
542,4/28/2015,2114.76001,0.002765404
543,4/29/2015,2106.850098,-0.003747348
544,4/30/2015,2085.51001,-0.010180553
545,5/1/2015,2108.290039,0.010863776
546,5/4/2015,2114.48999,0.002936433
547,5/5/2015,2089.459961,-0.011908003
548,5/6/2015,2080.149902,-0.004465681
549,5/7/2015,2088,0.003766711
550,5/8/2015,2116.100098,0.013368148
551,5/11/2015,2105.330078,-0.005102557
552,5/12/2015,2099.120117,-0.002953996
553,5/13/2015,2098.47998,-0.000305001
554,5/14/2015,2121.100098,0.010721605
555,5/15/2015,2122.72998,0.000768118
556,5/18/2015,2129.199951,0.003043313
557,5/19/2015,2127.830078,-0.000643582
558,5/20/2015,2125.850098,-0.000930949
559,5/21/2015,2130.820068,0.002335146
560,5/22/2015,2126.060059,-0.002236385
561,5/26/2015,2104.199951,-0.010335205
562,5/27/2015,2123.47998,0.009120919
563,5/28/2015,2120.790039,-0.001267564
564,5/29/2015,2107.389893,-0.006338515
565,6/1/2015,2111.72998,0.002057343
566,6/2/2015,2109.600098,-0.001009105
567,6/3/2015,2114.070068,0.002116629
568,6/4/2015,2095.840088,-0.008660562
569,6/5/2015,2092.830078,-0.001437215
570,6/8/2015,2079.280029,-0.00649556
571,6/9/2015,2080.149902,0.000418265
572,6/10/2015,2105.199951,0.011970492
573,6/11/2015,2108.860107,0.001737117
574,6/12/2015,2094.110107,-0.007018875
575,6/15/2015,2084.429932,-0.004633289
576,6/16/2015,2096.290039,0.00567373
577,6/17/2015,2100.439941,0.001977684
578,6/18/2015,2121.23999,0.009854
579,6/19/2015,2109.98999,-0.005317615
580,6/22/2015,2122.850098,0.006076368
581,6/23/2015,2124.199951,0.000635666
582,6/24/2015,2108.580078,-0.007380466
583,6/25/2015,2102.310059,-0.002978004
584,6/26/2015,2101.48999,-0.000390156
585,6/29/2015,2057.639893,-0.021086969
586,6/30/2015,2063.110107,0.002654962
587,7/1/2015,2077.419922,0.006912097
588,7/2/2015,2076.780029,-0.00030807
589,7/6/2015,2068.76001,-0.003869232
590,7/7/2015,2081.340088,0.006062561
591,7/8/2015,2046.680054,-0.016792965
592,7/9/2015,2051.310059,0.002259648
593,7/10/2015,2076.620117,0.012262986
594,7/13/2015,2099.600098,0.011005269
595,7/14/2015,2108.949951,0.004443273
596,7/15/2015,2107.399902,-0.000735256
597,7/16/2015,2124.290039,0.007982734
598,7/17/2015,2126.639893,0.001105572
599,7/20/2015,2128.280029,0.000770936
600,7/21/2015,2119.209961,-0.004270796
601,7/22/2015,2114.149902,-0.002390565
602,7/23/2015,2102.149902,-0.00569221
603,7/24/2015,2079.649902,-0.010761021
604,7/27/2015,2067.639893,-0.005791755
605,7/28/2015,2093.25,0.012310074
606,7/29/2015,2108.570068,0.007292143
607,7/30/2015,2108.629883,2.83672E-05
608,7/31/2015,2103.840088,-0.002274104
609,8/3/2015,2098.040039,-0.002760694
610,8/4/2015,2093.320068,-0.002252239
611,8/5/2015,2099.840088,0.003109838
612,8/6/2015,2083.560059,-0.007783196
613,8/7/2015,2077.570068,-0.002879023
614,8/10/2015,2104.179932,0.012726836
615,8/11/2015,2084.070068,-0.009603065
616,8/12/2015,2086.050049,0.000949604
617,8/13/2015,2083.389893,-0.001276026
618,8/14/2015,2091.540039,0.003904332
619,8/17/2015,2102.439941,0.005197892
620,8/18/2015,2096.919922,-0.002628983
621,8/19/2015,2079.610107,-0.008289137
622,8/20/2015,2035.72998,-0.02132596
623,8/21/2015,1970.890015,-0.032369242
624,8/24/2015,1893.209961,-0.040211444
625,8/25/2015,1867.609985,-0.01361425
626,8/26/2015,1940.51001,0.0382913
627,8/27/2015,1987.660034,0.024007254
628,8/28/2015,1988.869995,0.000608551
629,8/31/2015,1972.180054,-0.008427078
630,9/1/2015,1913.849976,-0.03002265
631,9/2/2015,1948.859985,0.018127671
632,9/3/2015,1951.130005,0.001164116
633,9/4/2015,1921.219971,-0.015448309
634,9/8/2015,1969.410034,0.024773637
635,9/9/2015,1942.040039,-0.013995036
636,9/10/2015,1952.290039,0.005264075
637,9/11/2015,1961.050049,0.004477007
638,9/14/2015,1953.030029,-0.004098041
639,9/15/2015,1978.089966,0.012749688
640,9/16/2015,1995.310059,0.008667741
641,9/17/2015,1990.199951,-0.002564345
642,9/18/2015,1958.030029,-0.016296231
643,9/21/2015,1966.969971,0.004555392
644,9/22/2015,1942.73999,-0.01239493
645,9/23/2015,1938.76001,-0.002050744
646,9/24/2015,1932.23999,-0.003368652
647,9/25/2015,1931.339966,-0.000465902
648,9/28/2015,1881.77002,-0.026001211
649,9/29/2015,1884.089966,0.001232094
650,9/30/2015,1920.030029,0.018895898
651,10/1/2015,1923.819946,0.001971939
