	SP	DAX	FTSE	EUR	GBP
11/24/99	1417.079956	5818.72998	6561.799805	1.0102	1.6046
11/26/99	1416.619995	5958.069824	6684.799805	1.0066	1.6013
11/29/99	1407.829956	5888.879883	6692.299805	1.0066	1.5948
11/30/99	1388.910034	5896.040039	6597.200195	1.0078	1.5986
12/1/99	1397.719971	5933.839844	6646	1.0044	1.6006
12/2/99	1409.040039	5937.200195	6653.700195	1.0008	1.6013
12/3/99	1433.300049	6119.169922	6742.200195	1.0224	1.619
12/6/99	1423.329956	6142.189941	6694	1.0219	1.6246
12/7/99	1409.170044	6158.77002	6660.899902	1.024	1.6262
12/8/99	1403.880005	6115.589844	6619.399902	1.0193	1.6255
12/9/99	1408.109985	6118.060059	6680.799805	1.0143	1.6235
12/10/99	1417.040039	6097.899902	6739.5	1.0116	1.6228
12/13/99	1415.219971	6127.200195	6710.700195	1.0051	1.6137
12/14/99	1403.170044	6187.990234	6702.100098	1.0025	1.6038
12/15/99	1413.329956	6232.75	6633.799805	1.0146	1.6138
12/16/99	1418.780029	6341.290039	6672	1.0136	1.6122
12/17/99	1421.030029	6353.899902	6724.600098	1.0091	1.6068
12/20/99	1418.089966	6378.660156	6731.200195	1.0095	1.6103
12/21/99	1433.430054	6418.680176	6707.5	1.0079	1.6088
12/22/99	1436.130005	6492.529785	6728.600098	1.0143	1.6147
12/23/99	1458.339966	6782.390137	6776.799805	1.0128	1.6183
12/27/99	1457.099976	6837.410156	6806.5	1.0104	1.6179
12/28/99	1457.660034	6861.540039	6806.5	1.0057	1.6183
12/29/99	1463.459961	6859.580078	6835.899902	1.0037	1.6153
12/30/99	1464.469971	6958.140137	6930.200195	1.0085	1.6153
1/3/00	1455.219971	6750.759766	6930.200195	1.0336	1.6373
1/4/00	1399.420044	6586.950195	6665.899902	1.037	1.6415
1/5/00	1402.109985	6502.069824	6535.899902	1.0364	1.6488
1/6/00	1403.449951	6474.919922	6447.200195	1.0291	1.6401
1/7/00	1441.469971	6780.959961	6504.799805	1.0246	1.6378
1/10/00	1457.599976	6925.52002	6607.700195	1.0285	1.6458
1/11/00	1438.560059	6891.25	6518.899902	1.0297	1.6473
1/12/00	1432.25	6912.810059	6532.799805	1.0266	1.6443
1/13/00	1449.680054	6955.97998	6531.5	1.0194	1.643
1/14/00	1465.150024	7173.220215	6658.200195	1.0097	1.6368
1/18/00	1455.140015	7072.120117	6504.600098	1.0107	1.6412
1/19/00	1455.900024	7091.040039	6445.5	1.0096	1.646
1/20/00	1445.569946	7112.660156	6348.700195	1.0066	1.6501
1/21/00	1441.359985	6992.75	6346.299805	1.0022	1.6528
1/24/00	1401.530029	6931.990234	6379.799805	1.0034	1.6473
1/25/00	1410.030029	6809.640137	6274.100098	1.0015	1.6431
1/26/00	1404.089966	6969.370117	6375.600098	0.9916	1.6372
1/27/00	1398.560059	7126.129883	6441	0.9848	1.6249
1/28/00	1360.160034	7066.600098	6375.600098	0.9796	1.6183
1/31/00	1394.459961	6835.600098	6268.5	0.9741	1.6138
2/1/00	1409.280029	7050.459961	6290.899902	0.9715	1.6042
2/2/00	1409.119995	7171.950195	6302.799805	0.9794	1.5961
2/3/00	1424.969971	7354.259766	6324.299805	0.9806	1.5893
2/4/00	1424.369995	7444.609863	6185	0.9768	1.5919
2/7/00	1424.23999	7296.319824	6118.600098	0.987	1.61
2/8/00	1441.719971	7549.879883	6285.799805	0.9933	1.6113
2/9/00	1411.709961	7629.109863	6315.399902	0.9877	1.61
2/10/00	1416.829956	7709.27002	6279.799805	0.9819	1.5989
2/11/00	1387.119995	7611.549805	6193.299805	0.9838	1.5918
2/14/00	1389.939941	7644.799805	6068.600098	0.9782	1.5917
2/15/00	1402.050049	7396.129883	6005.200195	0.9828	1.6008
