Date,GOOG,GOOGL
11/30/15,742.599976,762.849976
12/1/15,767.039978,783.789978
12/2/15,762.380005,777.849976
12/3/15,752.539978,768.200012
12/4/15,766.809998,779.210022
12/7/15,763.25,772.98999
12/8/15,762.369995,775.140015
12/9/15,751.609985,762.549988
12/10/15,749.460022,760.039978
12/11/15,738.869995,750.419983
12/14/15,747.77002,762.539978
12/15/15,743.400024,760.090027
12/16/15,758.090027,776.590027
12/17/15,749.429993,769.830017
12/18/15,739.309998,756.849976
12/21/15,747.77002,760.799988
12/22/15,750,767.130005
12/23/15,750.309998,768.51001
12/24/15,748.400024,765.840027
12/28/15,762.51001,782.23999
12/29/15,776.599976,793.960022
12/30/15,771,790.299988
12/31/15,758.880005,778.01001
1/4/16,741.840027,759.440002
1/5/16,742.580017,761.530029
1/6/16,743.619995,759.330017
1/7/16,726.390015,741
1/8/16,714.469971,730.909973
1/11/16,716.030029,733.070007
1/12/16,726.070007,745.340027
1/13/16,700.559998,719.570007
1/14/16,714.719971,731.390015
1/15/16,694.450012,710.48999
1/19/16,701.789978,719.080017
1/20/16,698.450012,718.559998
1/21/16,706.590027,726.669983
1/22/16,725.25,745.460022
1/25/16,711.669983,733.619995
1/26/16,713.039978,733.789978
1/27/16,699.98999,717.580017
1/28/16,730.960022,748.299988
1/29/16,742.950012,761.349976
2/1/16,752,770.77002
2/2/16,764.650024,780.909973
2/3/16,726.950012,749.380005
2/4/16,708.01001,730.030029
2/5/16,683.570007,703.76001
2/8/16,682.73999,704.159973
2/9/16,678.109985,701.02002
2/10/16,684.119995,706.849976
2/11/16,683.109985,706.359985
2/12/16,682.400024,706.890015
2/16/16,691,717.640015
2/17/16,708.400024,731.969971
2/18/16,697.349976,717.51001
2/19/16,700.909973,722.109985
2/22/16,706.460022,729.049988
2/23/16,695.849976,717.289978
2/24/16,699.559998,720.900024
2/25/16,705.75,729.119995
2/26/16,705.070007,724.859985
2/29/16,697.77002,717.219971
3/1/16,718.809998,742.169983
3/2/16,718.849976,739.47998
3/3/16,712.419983,731.590027
3/4/16,710.890015,730.219971
3/7/16,695.159973,712.799988
3/8/16,693.969971,713.530029
3/9/16,705.23999,725.409973
3/10/16,712.820007,732.169983
3/11/16,726.820007,744.869995
3/14/16,730.48999,750.23999
3/15/16,728.330017,750.570007
3/16/16,736.090027,757.359985
3/17/16,737.780029,758.47998
3/18/16,737.599976,755.409973
3/21/16,742.090027,762.159973
3/22/16,740.75,760.049988
3/23/16,738.059998,757.559998
3/24/16,735.299988,754.840027
3/28/16,733.530029,753.280029
3/29/16,744.77002,765.890015
3/30/16,750.530029,768.340027
3/31/16,744.950012,762.900024
4/1/16,749.909973,769.669983
4/4/16,745.289978,765.119995
4/5/16,737.799988,758.570007
4/6/16,745.690002,768.070007
4/7/16,740.280029,760.119995
4/8/16,739.150024,759.469971
4/11/16,736.099976,757.539978
4/12/16,743.090027,764.320007
4/13/16,751.719971,771.909973
4/14/16,753.200012,775.390015
4/15/16,759,780
4/18/16,766.609985,787.679993
4/19/16,753.929993,776.25
4/20/16,752.669983,774.919983
4/21/16,759.140015,780
4/22/16,718.77002,737.77002
4/25/16,723.150024,742.210022
4/26/16,708.140015,725.369995
4/27/16,705.840027,721.460022
4/28/16,691.02002,705.059998
4/29/16,693.01001,707.880005
5/2/16,698.210022,714.409973
5/3/16,692.359985,708.440002
5/4/16,695.700012,711.369995
5/5/16,701.429993,714.710022
5/6/16,711.119995,725.179993
5/9/16,712.900024,729.130005
5/10/16,723.179993,739.380005
5/11/16,715.289978,730.549988
5/12/16,713.309998,728.070007
5/13/16,710.830017,724.830017
5/16/16,716.48999,730.299988
5/17/16,706.22998,720.190002
5/18/16,706.630005,721.780029
5/19/16,700.320007,715.309998
5/20/16,709.73999,721.710022
5/23/16,704.23999,717.25
5/24/16,720.090027,733.030029
5/25/16,725.27002,738.099976
5/26/16,724.119995,736.929993
5/27/16,732.659973,747.599976
5/31/16,735.719971,748.849976
6/1/16,734.150024,748.460022
6/2/16,730.400024,744.27002
6/3/16,722.340027,735.859985
6/6/16,716.549988,730.059998
6/7/16,716.650024,731.090027
6/8/16,728.280029,742.929993
6/9/16,728.580017,742.52002
6/10/16,719.409973,733.190002
